Report Date,County,Place of Fatality,Deaths by County of Residence
10/27/22,Wyoming,71,89
10/27/22,Yates,26,40
10/26/22,Albany,1011,568
10/26/22,Allegany,95,163
10/26/22,Bronx,4923,5515
10/26/22,Broome,663,564
10/26/22,Cattaraugus,245,240
10/26/22,Cayuga,127,167
10/26/22,Chautauqua,311,322
10/26/22,Chemung,317,247
10/26/22,Chenango,76,127
10/26/22,Clinton,151,109
10/26/22,Columbia,171,159
10/26/22,Cortland,109,129
10/26/22,Delaware,28,85
10/26/22,Dutchess,755,707
10/26/22,Erie,3124,2786
10/26/22,Essex,40,70
10/26/22,Franklin,33,51
10/26/22,Fulton,107,180
10/26/22,Genesee,173,203
10/26/22,Greene,35,139
10/26/22,Hamilton,0,5
10/26/22,Herkimer,71,207
10/26/22,Jefferson,126,146
10/26/22,Kings,8364,9238
10/26/22,Lewis,21,53
10/26/22,Livingston,88,129
10/26/22,Madison,127,139
10/26/22,Manhattan,6318,3840
10/26/22,Monroe,2051,1739
10/26/22,Montgomery,197,222
10/26/22,Nassau,4973,4063
10/26/22,Niagara,399,613
10/26/22,Non-NYS,0,521
10/26/22,Oneida,874,843
10/26/22,Onondaga,1402,1144
10/26/22,Ontario,257,201
10/26/22,Orange,1105,1006
10/26/22,Orleans,58,122
10/26/22,Oswego,124,214
10/26/22,Otsego,157,98
10/26/22,Putnam,116,136
10/26/22,Queens,6978,8607
10/26/22,Rensselaer,245,291
10/26/22,Richmond,1464,1494
10/26/22,Rockland,900,935
10/26/22,Saratoga,270,374
10/26/22,Schenectady,319,339
10/26/22,Schoharie,16,40
10/26/22,Schuyler,8,30
10/26/22,Seneca,38,94
10/26/22,St. Lawrence,191,210
10/26/22,Statewide Total,58703,58703
10/26/22,Steuben,209,262
10/26/22,Suffolk,4656,4657
10/26/22,Sullivan,103,140
10/26/22,Tioga,42,88
10/26/22,Tompkins,104,95
10/26/22,Ulster,215,392
10/26/22,Warren,239,140
10/26/22,Washington,42,128
10/26/22,Wayne,111,198
10/26/22,Westchester,3134,2850
10/26/22,Wyoming,71,89
10/26/22,Yates,26,40
10/25/22,Albany,1010,568
10/25/22,Allegany,95,163
10/25/22,Bronx,4922,5513
10/25/22,Broome,661,562
10/25/22,Cattaraugus,245,240
10/25/22,Cayuga,127,167
10/25/22,Chautauqua,311,322
10/25/22,Chemung,316,247
10/25/22,Chenango,76,127
10/25/22,Clinton,150,109
10/25/22,Columbia,171,159
10/25/22,Cortland,109,129
10/25/22,Delaware,28,85
10/25/22,Dutchess,754,706
10/25/22,Erie,3123,2785
10/25/22,Essex,40,69
10/25/22,Franklin,33,51
10/25/22,Fulton,106,179
10/25/22,Genesee,173,203
10/25/22,Greene,35,139
10/25/22,Hamilton,0,5
10/25/22,Herkimer,71,207
10/25/22,Jefferson,126,146
10/25/22,Kings,8363,9237
10/25/22,Lewis,21,53
10/25/22,Livingston,88,129
10/25/22,Madison,127,139
10/25/22,Manhattan,6317,3840
10/25/22,Monroe,2050,1738
10/25/22,Montgomery,197,222
